1,2.512336526839375E7
2,1.3860483892963761E7
3,9577521.572218964
4,6866618.234210985
5,5453453.451275164
6,4684215.321607356
7,3974033.5493986863
8,3598456.5164952935
9,3123848.7544996436
10,2762596.078291657
11,2530197.5239314176
12,2354369.983231165
13,2147881.322035903
14,1984008.601218664
15,1868680.5152791305
16,1716369.4355904968
17,1621956.0258862542
18,1535864.1982556188
19,1470960.9137838455
20,1391728.4811233606
21,1321307.4811734338
22,1244652.5777615337
23,1186250.102068487
24,1150318.2434660483
25,1087730.499180443
26,1071743.4892155153
27,1001060.6443686103
28,982457.1410101055
29,947892.5278763449
30,906571.3208588939
31,884067.3120009145
32,859041.5472329296
33,835088.866778597
34,810323.3654834407
35,778488.7487709736
36,767471.5388372657
37,739849.4767101948
38,724465.4918754132
39,698657.4339568333
40,684266.2644806684
41,663093.1660600732
42,654738.214761277
43,645999.8761305402
44,628027.9267490144
45,605373.6749602016
46,598778.7809349799
47,599264.7820037329
48,578060.389276272
49,556144.8368831488
50,546916.6305551659
