1,161647.2524610085
2,51807.56286546054
3,27851.72249834604
4,18658.947820378
5,13026.561019822002
6,11318.273490330648
7,9813.187716341976
8,8659.82028872528
9,7970.246135793244
10,6644.762666365048
11,6824.83976475279
12,5664.963869359865
13,4291.616863378962
14,4608.440659982492
15,3635.0079154258847
16,3525.7580216608403
17,2954.2417461231184
18,3173.087337279858
19,2731.9797830284683
20,2418.174363578004
21,2333.234703383757
22,2136.0871930160447
23,2274.5162184288974
24,1987.236130096124
25,1835.5376424010624
26,1788.9732387911197
27,1845.286333474405
28,1505.1095301808978
29,1619.5906079632557
30,1520.3873602567564
